"date","music","love","party","location","book"
"2016-09-13",3515130.16305729,4850933.29839228,3123910.45554483,"berlin","no_book"
"2016-09-14",3197264.88813632,4681434.32549178,2966860.1992596,"berlin","no_book"
"2016-09-15",3431369.61954404,4448956.15118589,3673687.6593838,"berlin","no_book"
"2016-09-16",4369136.13018591,4214170.67180654,3828332.14796469,"berlin","no_book"
"2016-09-17",5077132.28599058,5935513.40053716,5470322.7505412,"berlin","no_book"
"2016-09-18",3112263.11387769,6006938.10720249,3121537.82858749,"berlin","no_book"
"2016-09-19",3123458.24892329,4448222.53286394,2729815.45816517,"berlin","no_book"
"2016-09-20",2733469.54456165,4836546.26151037,2575942.40681,"berlin","no_book"
"2016-09-21",3436774.65169642,4293717.35004764,3275315.80485875,"berlin","no_book"
"2016-09-22",4052712.00203803,4923648.88354571,3283545.05750455,"berlin","no_book"
"2016-09-23",3910002.83201256,4917177.87659019,4683318.9264284,"berlin","no_book"
"2016-09-24",4298299.03851929,6244873.30292907,5546559.49279759,"berlin","no_book"
"2016-09-25",3275915.82232255,6173628.72271829,3586848.34600059,"berlin","no_book"
"2016-09-26",3440540.79645927,5305374.43250351,3437036.27271706,"berlin","no_book"
"2016-09-27",3355053.8672207,4369363.55274456,3121917.3280546,"berlin","no_book"
"2016-09-28",3122016.29779086,4605210.24416084,2728525.89961792,"berlin","no_book"
"2016-09-29",3665614.14856896,5147940.04876587,3581362.06176197,"berlin","no_book"
"2016-09-30",4292693.76081025,6009992.35085987,3982547.23600869,"berlin","no_book"
"2016-10-01",4139132.2398345,6322484.94075915,4765356.46022572,"berlin","no_book"
"2016-10-02",4287673.24919472,6940519.39983092,5151588.31458885,"berlin","no_book"
"2016-10-03",4063038.11154554,5461728.66035154,3668465.41406313,"berlin","no_book"
"2016-10-04",3751755.41595935,4921009.10817487,3122123.85537031,"berlin","no_book"
"2016-10-05",3439676.29492411,5929690.82132086,3509558.32225926,"berlin","no_book"
"2016-10-06",3347540.68275759,4925218.87702976,4056338.80677761,"berlin","no_book"
"2016-10-07",4611221.79838796,5779779.64308143,4057448.5884004,"berlin","no_book"
"2016-10-08",4763015.25494464,6323077.77970348,5309934.77145188,"berlin","no_book"
"2016-10-09",3978732.47823605,5627244.47307303,4843412.2935242,"berlin","no_book"
"2016-10-10",3671025.38170921,4373227.01573066,3045590.76566006,"berlin","no_book"
"2016-10-11",3667470.53618232,4294469.85040457,4216954.77655539,"berlin","no_book"
"2016-10-12",3981437.09841656,4216275.52781579,3822757.46358769,"berlin","no_book"
"2016-10-13",3905450.16305729,4538677.29839228,3358102.45554483,"berlin","no_book"
"2016-10-14",3821776.88813632,4525306.32549178,3513308.1992596,"berlin","no_book"
"2016-10-15",4290073.61954404,5307660.15118589,6171735.6593838,"berlin","no_book"
"2016-10-16",3666560.13018591,5463194.67180654,3984460.14796469,"berlin","no_book"
"2016-10-17",2969404.28599058,3827785.40053716,4143234.7505412,"berlin","no_book"
"2016-10-18",3346455.11387769,5226298.10720249,3902177.82858749,"berlin","no_book"
"2016-10-19",3513778.24892329,4604350.53286394,3822711.45816517,"berlin","no_book"
"2016-10-20",3904429.54456165,4446226.26151037,3668838.40681,"berlin","no_book"
"2016-10-21",4529670.65169642,4996293.35004764,6085619.80485875,"berlin","no_book"
"2016-10-22",4208840.00203803,5860416.88354571,6484169.05750455,"berlin","no_book"
"2016-10-23",5159026.83201256,4448793.87659019,4995574.9264284,"berlin","no_book"
"2016-10-24",3283467.03851929,5073913.30292907,4297535.49279759,"berlin","no_book"
"2016-10-25",3119787.82232255,4300092.72271829,4367488.34600059,"berlin","no_book"
"2016-10-26",3830860.79645927,5305374.43250351,4373804.27271706,"berlin","no_book"
"2016-10-27",3667309.8672207,5150003.55274456,4214813.3280546,"berlin","no_book"
"2016-10-28",4058784.29779086,5932298.24416084,5929149.89961792,"berlin","no_book"
"2016-10-29",3431422.14856896,5382132.04876587,7796818.06176197,"berlin","no_book"
"2016-10-30",4604949.76081025,4995160.35085987,5856083.23600869,"berlin","no_book"
"2016-10-31",4217196.2398345,4136692.94075915,5389868.46022572,"berlin","no_book"
"2016-11-01",4131545.24919472,3661831.39983092,3902564.31458885,"berlin","no_book"
"2016-11-02",3672718.11154554,4915280.66035154,3512337.41406313,"berlin","no_book"
"2016-11-03",3439499.41595935,4452625.10817487,3278251.85537031,"berlin","no_book"
"2016-11-04",4064188.29492411,4134218.82132086,4290198.32225926,"berlin","no_book"
"2016-11-05",4752692.68275759,5705858.87702976,5929874.80677761,"berlin","no_book"
"2016-11-06",3518325.79838796,5857843.64308143,3901320.5884004,"berlin","no_book"
"2016-11-07",3357863.25494464,4761797.77970348,3202206.77145188,"berlin","no_book"
"2016-11-08",3900668.47823605,4065964.47307303,3126004.2935242,"berlin","no_book"
"2016-11-09",3202641.38170921,3826779.01573066,2889462.76566006,"berlin","no_book"
"2016-11-10",3511342.53618232,4450597.85040457,3124058.77655539,"berlin","no_book"
"2016-11-11",3825309.09841656,5621427.52781579,3822757.46358769,"berlin","no_book"
"2016-11-12",4139642.16305729,5631573.29839228,4763254.45554483,"berlin","no_book"
